Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam
2023-02-17,14:12:34,2,6,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,FlyBall,Out,1,0,92.10173,-2.1341580000000002,-2.988891,2247.609795,206.976538,01:00:00,5.93162,1.45713,5.83264,-14.99072,18.2217,8.71138,2.69505,-0.59765,83.81563,-4.999161,-1.430011,0.414784,86.49249,51.662328,27.590735,4684.465445,90.98754,117.19885,61.81598,263.8294,140.25462,35.450171,5.957623,-5.33382,10.26926,-1.21838,50,5.74855,6.59128,-133.50494,-5.42352,-9.58759,29.83009,-13.71501,VIR_CAV,NAV_MID
2023-02-17,14:12:11,3,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,0,0,82.50861,-0.827309,-2.132578,2501.76983,91.284282,09:00:00,5.8733,1.63892,5.19195,-40.4301,1.45047,-11.16713,1.72529,-1.29869,76.48985,-8.134405,-4.110845,0.465777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.04544,1.29583,-1.4322,50,5.76572,4.92601,-119.79212,-3.20573,7.38006,21.70665,-30.27862,VIR_CAV,NAV_MID
2023-02-17,14:13:14,3,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Alex",1000101042,Right,NAV_MID,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,GroundBall,Single,0,0,92.50933,-2.685813,-2.959146,2272.16781,205.436148,12:45:00,5.99487,1.45297,5.80656,-12.3641,20.5847,9.26788,2.46165,-0.52906,84.22985,-5.076961,-1.3016,0.413134,98.13949,-2.369632,20.812925,2698.891574,NA,NA,NA,32.15074,32.15074,21.880572,0.221684,-5.59103,11.61446,-1.21568,50,5.76694,6.52155,-134.05129,-6.62905,-10.1427,29.79921,-11.10429,VIR_CAV,NAV_MID
2023-02-17,14:13:54,4,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Izquierdo, Victor",1000116142,Right,NAV_MID,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,0,0,90.96931,-1.704862,-2.713221,2158.710261,205.106075,12:45:00,5.99492,1.38139,5.59189,-14.68587,19.88686,8.7428,3.177,-0.4253,82.16586,-4.527932,-1.155338,0.423193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2424,10.92709,-1.15426,50,5.83927,5.84479,-131.74825,-4.34648,-9.11582,30.78177,-13.17333,VIR_CAV,NAV_MID
2023-02-17,14:14:39,4,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Izquierdo, Victor",1000116142,Right,NAV_MID,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,0,0,82.54162,-0.564536,-1.867096,2250.559588,102.477544,09:30:00,5.90649,1.84018,5.36376,-37.58148,3.94492,-12.48548,2.24504,-0.95165,76.47608,-7.398252,-4.085498,0.463803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.81095,2.49102,-1.66336,50,5.82898,4.42021,-119.8968,-2.50945,8.52182,21.56104,-28.52092,VIR_CAV,NAV_MID
2023-02-17,14:15:06,4,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Izquierdo, Victor",1000116142,Right,NAV_MID,Undefined,1,Top,2,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,0,0,81.54344,0.419546,-0.696988,2317.119697,72.27494,08:30:00,5.879,1.73916,5.60588,-44.92869,-2.20843,-11.30296,2.52661,0.1466,74.48655,-7.806535,-2.717444,0.470423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5078,-0.81126,-1.67212,50,5.88595,1.89546,-118.38052,-0.68422,7.75343,24.28465,-33.3161,VIR_CAV,NAV_MID
2023-02-17,14:15:51,4,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Izquierdo, Victor",1000116142,Right,NAV_MID,Undefined,1,Top,2,1,2,Slider,Slider,FoulBall,Undefined,Undefined,0,0,82.36895,0.09832,-1.287051,2252.403424,100.458838,09:15:00,5.79142,1.85011,5.24705,-38.83451,3.03992,-9.93981,2.64763,-0.18788,76.15115,-6.960886,-3.050315,0.465743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66236,1.84862,-1.72423,50,5.77146,3.09973,-119.66031,-1.18944,6.80789,21.55752,-29.47472,VIR_CAV,NAV_MID
2023-02-17,14:16:34,4,5,"Edgington, Brian",1000026672,Right,VIR_CAV,"Izquierdo, Victor",1000116142,Right,NAV_MID,Undefined,1,Top,2,1,2,Splitter,Splitter,StrikeSwinging,Undefined,Undefined,0,0,82.43602,-1.373188,-3.155455,1058.660128,258.249927,02:30:00,5.94124,1.64866,5.52113,-37.75278,4.32626,13.91678,1.50913,-0.14477,75.20716,-8.294935,-0.674684,0.466879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.08012,2.95284,-1.38378,50,5.79614,6.03442,-119.4659,-4.14967,-11.57785,24.846800000000002,-27.94297,VIR_CAV,NAV_MID
2023-02-17,14:28:14,1,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Keller, Logan",1000013117,Right,NAV_MID,Undefined,2,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,0,0,90.52914,-0.717245,-1.694115,2143.113757,211.904667,01:00:00,6.09085,1.41417,5.7623,-16.42221,18.15962,10.55697,4.05444,0.71668,81.84142,-3.86187,0.195195,0.423248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.86303,9.79882,-1.2802,50,6.02162,3.41181,-131.29689,-2.12418,-10.13296,30.37574,-15.23891,VIR_CAV,NAV_MID
2023-02-17,14:28:31,1,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Keller, Logan",1000013117,Right,NAV_MID,Undefined,2,Top,0,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,0,0,90.58591,-2.54428,-2.634877,2219.790646,203.67512,12:45:00,6.02959,1.33444,5.71658,-13.60859,21.12489,8.71713,2.52139,-0.39534,81.86445,-5.178297,-1.077743,0.424175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.21177,11.85174,-1.11935,50,5.80828,5.64255,-131.15023,-6.19054,-8.98125,30.4808,-11.75041,VIR_CAV,NAV_MID
