PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,3/31/2023,32:30.8,1,1,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.22171,-3.564898,-5.213123,2453.091347,237.201261,2:00,5.69446,2.0943,5.54414,-18.62194,12.61993,18.12273,0.79289,-1.28089,87.76379,-7.017095,-1.997796,0.402291,,,,,,,,,,,,-10.43056,7.55469,-1.65377,50,5.3717,11.70671,-137.62982,-9.28406,-20.21806,27.5206,-17.53041,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,b01723e0-d024-11ed-8f89-e170dfd227fc,93.69455,,,7.45792,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,32:30.8,2023-03-31T20:32:30.8097282-04:00,2023-04-01T00:32:30.8097282Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,022534f4-9285-42ff-84fc-635fd7b6636c,54.95623,-138.61733,13.7603,5.69355,-8.65502,-8.7652,-2.08685,12.43218,-10.10903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,3/31/2023,32:44.4,1,2,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.4056,-3.633693,-5.586038,2462.869594,243.785997,2:15,5.64272,2.36357,5.3427,-21.57383,10.5919,19.47702,0.4154,-1.27008,86.8034,-7.599317,-2.144978,0.408196,,,,,,,,,,,,-11.16764,6.55563,-1.87284,50,5.29789,12.39649,-136.27837,-9.51926,-21.16134,27.81732,-19.7519,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,b83cb620-d024-11ed-8f89-e170dfd227fc,92.33918,,,7.6022,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,32:44.4,2023-03-31T20:32:44.4256514-04:00,2023-04-01T00:32:44.4256514Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,eee63ea3-6765-4221-a71c-ec38826736ec,55.15738,-137.32706,13.90866,5.64272,-8.77462,-9.87595,-2.35522,13.19426,-10.58067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,3/31/2023,33:02.0,1,3,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.69159,-2.511712,-4.235675,2488.643593,244.416757,2:15,5.49545,2.38274,5.62605,-21.97033,9.89083,18.35875,1.31293,-0.04698,85.96912,-6.599917,-0.965333,0.406258,,,,,,,,,,,,-10.51438,6.08662,-2.03312,50,5.26686,9.27762,-136.96131,-6.82627,-19.83783,32.14537,-20.69024,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,c2b78300-d024-11ed-8f89-e170dfd227fc,92.77947,,,8.72247,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,33:02.0,2023-03-31T20:33:01.9945218-04:00,2023-04-01T00:33:01.9945218Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,770ce0f4-cff2-492f-bb93-6b5a7cbb55a5,54.87198,-138.10005,16.07268,5.4957,-6.09333,-10.34512,-2.37423,9.98036,-9.91892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,3/31/2023,33:17.6,1,4,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.43332,-4.448398,-5.548595,2491.619654,229.352266,1:45,5.66657,2.30694,5.48298,-16.22091,15.49926,16.7621,0.12481,-1.50388,86.7415,-7.495934,-2.581793,0.405358,,,,,,,,,,,,-10.07666,9.43831,-1.83077,50,5.26323,12.56297,-137.48895,-11.30159,-19.20349,31.73509,-14.18706,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,cc019810-d024-11ed-8f89-e170dfd227fc,92.98545,,,8.69182,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,33:17.6,2023-03-31T20:33:17.6100098-04:00,2023-04-01T00:33:17.6100098Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,9e3ca31a-833c-4485-b4a8-e8287da3441b,55.01594,-138.64189,15.86754,5.66446,-10.78617,-7.09353,-2.29986,13.26063,-9.60175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,3/31/2023,33:34.5,1,5,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Top,0,3,1,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,94.13485,-0.900573,-5.16421,2489.098893,242.785123,2:00,5.5976,2.3033,5.7446,-20.84064,11.10835,19.55324,3.01891,-0.88848,85.64935,-4.799828,-1.682838,0.406818,,,,,,,,,,,,-11.34879,6.21618,-1.88484,50,5.50977,11.40616,-136.19736,-2.87957,-21.29396,30.21494,-20.51054,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,d60f9960-d024-11ed-8f89-e170dfd227fc,92.65187,,,8.4855,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,33:34.5,2023-03-31T20:33:34.5187586-04:00,2023-04-01T00:33:34.5187586Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,8fe77b33-b409-4704-9aba-a94fe17d89a1,54.75432,-137.24804,15.10747,5.5975,-2.16635,-10.25527,-2.29435,12.14662,-10.64698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,3/31/2023,34:07.8,2,1,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Donnell, Ethan",1000091984,Left,VIR_CAV,Undefined,1,Top,0,0,0,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.56414,-3.054972,-3.578268,1847.185938,244.071526,2:15,5.65269,2.38439,5.74605,-25.12064,10.13827,18.46013,0.70678,0.58693,81.91966,-7.708641,-0.276916,0.427372,,,,,,,,,,,,-10.43548,6.38118,-2.09822,50,5.38282,7.31807,-129.69328,-7.79627,-17.73509,27.67969,-21.32926,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,e9e5e070-d024-11ed-8f89-e170dfd227fc,88.19588,,,7.64448,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,34:07.8,2023-03-31T20:34:07.7662978-04:00,2023-04-01T00:34:07.7662978Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,cffc07b5-9e08-4fb3-85a2-ac983c0592b4,54.75359,-130.70388,13.83985,5.65325,-7.01753,-10.66463,-2.37722,7.96558,-8.86755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,3/31/2023,34:24.7,2,2,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Donnell, Ethan",1000091984,Left,VIR_CAV,Undefined,1,Top,0,1,0,Sinker,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,94.73622,-2.152803,-3.967885,2484.129479,243.094514,2:00,5.60105,2.63765,5.71893,-20.61832,10.9917,19.55525,1.87176,0.56525,86.14516,-6.006939,-0.47708,0.404654,91.91611,11.950456,-76.109735,3268.869746,20.5915,15.39607,-108.0552,218.11708,108.07306,-82.700106,2.075834,-11.08957,6.53335,-2.31782,50,5.40803,8.61258,-137.17443,-5.89895,-21.02941,31.69325,-19.78468,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,f3fc9450-d024-11ed-8f89-e170dfd227fc,93.14736,15.41422,,8.59106,,,,0.34365,2.20007,-0.42766,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,34:24.7,2023-03-31T20:34:24.6619906-04:00,2023-04-01T00:34:24.6619906Z,LineDrive,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,5bb350bb-e2b4-4592-b7aa-a9ddf1431b4c,54.78018,-138.27445,15.84662,5.60085,-5.21226,-9.89234,-2.62942,9.34247,-10.5147,,0.34365,31.66166,-12.84694,2.75249,-0.61471,0.16273,-0.0511,0.01298,-0.00157,2.20008,27.91339,-15.69168,1.1416,-0.09078,-0.15865,0.13597,-0.04899,0.00673,-0.42767,-128.03132,16.59297,-3.47727,0.71485,-0.12686,0.01165,0.00184,-0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,3/31/2023,34:46.1,2,3,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Donnell, Ethan",1000091984,Left,VIR_CAV,Undefined,1,Top,0,1,1,Slider,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,83.21871,0.421515,-1.76545,2737.144533,58.447467,8:00,5.76754,2.46729,5.1636,-47.01648,-5.54162,-11.09288,2.24643,-0.11927,76.55844,-8.075047,-3.730585,0.463515,,,,,,,,,,,,5.06185,-2.54366,-2.29366,50,5.7705,4.19267,-120.79248,-0.87889,7.4689,23.81813,-35.92731,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,00caa000-d025-11ed-8f89-e170dfd227fc,81.31869,,,6.66027,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,34:46.1,2023-03-31T20:34:46.0859138-04:00,2023-04-01T00:34:46.0859138Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,0be025c2-c1e8-461c-bd98-5b9d0a8adf3c,55.33772,-121.84044,11.90906,5.7744,0.70184,-17.96366,-2.47091,3.86405,3.73445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,3/31/2023,35:15.1,2,4,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Donnell, Ethan",1000091984,Left,VIR_CAV,Undefined,1,Top,0,1,2,ChangeUp,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.4129,-1.280121,-2.531982,1935.145287,246.445274,2:15,5.6353,2.57588,5.72848,-25.30769,9.11394,18.39056,2.33274,1.74876,82.70393,-5.977688,0.758454,0.422267,,,,,,,,,,,,-10.00575,5.33469,-2.37577,50,5.51295,4.98526,-131.20478,-3.82303,-17.4403,27.78006,-22.87558,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,121f1e30-d025-11ed-8f89-e170dfd227fc,89.2621,,,7.70897,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,35:15.1,2023-03-31T20:35:15.1518978-04:00,2023-04-01T00:35:15.1518978Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,998caf4f-6996-4b87-ab14-4abbd6e61ef7,54.77026,-132.21093,13.89003,5.63641,-2.99451,-11.43779,-2.56777,5.61692,-8.72015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,3/31/2023,35:34.2,2,5,"Hackenberg, Drue",1000066668,Right,VIR_TEC,"O'Donnell, Ethan",1000091984,Left,VIR_CAV,Undefined,1,Top,0,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,84.16072,-0.245164,-2.887151,2806.515507,56.870935,8:00,5.70818,2.3662,5.15724,-49.17802,-8.12213,-14.53674,1.37895,-1.56518,76.92362,-9.108717,-5.458901,0.461168,,,,,,,,,,,,6.36095,-3.59803,-2.08475,50,5.64736,6.77723,-121.936,-2.40537,9.45588,26.80823,-37.52271,VIR_TEC,VIR_CAV,VATech,D1,ACC,20230331-VATech-1,1d6b1dc0-d025-11ed-8f89-e170dfd227fc,81.73258,,,7.2371,,,,,,,827e5b5a-3ddd-4a1e-9aea-cd92bea0dd32,4/1/2023,35:34.2,2023-03-31T20:35:34.1684482-04:00,2023-04-01T00:35:34.1684482Z,,v3,2293,471482,31 March 2023 19:00-virginia@vatech,"Ebel, Gehrig",1000076243,Right,VIR_TEC,2c0be8e2-8593-4965-969d-802012104733,55.34337,-123.10516,13.40411,5.71658,-0.76893,-18.76136,-2.37133,6.36484,4.72794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
