PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-17,14:08:14.24,1,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,91.68769,-2.07513,-2.363627,2199.560357,204.249446,12:45,6.07445,1.29886,5.61516,-13.66418,19.85454,8.47343,2.99654,-0.20226,83.99719,-4.682025,-0.852406,0.416692,,,,,,,,,,,,-4.87851,10.88934,-1.10232,50,5.88825,5.09994,-132.9939,-5.21573,-8.77801,27.2864,-12.58062,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,6df40590-aef6-11ed-8272-ab1a32303e50,90.4564,,,7.6905,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:08:14.24,2023-02-17T14:08:14.2400000-05:00,2023-02-17T19:08:14.2400000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,9a139d07-0a55-4a34-8035-84b2e57fc4e7,54.88135,-133.99166,13.6432,6.07056,-4.7557,-6.29031,-1.29468,5.42092,-4.38901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-17,14:08:35.76,1,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.48561,-1.244223,-2.089204,2230.778007,71.771088,8:30,5.92287,1.55479,5.42308,-44.83215,-1.19689,-8.43871,1.02049,-1.10616,73.92893,-9.413677,-3.592429,0.475434,,,,,,,,,,,,3.56437,0.24205,-1.36325,50,5.78135,4.64886,-118.02256,-4.13245,4.92864,26.582,-31.83938,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,7acf30a0-aef6-11ed-8272-ab1a32303e50,79.28007,,,7.55668,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:08:35.76,2023-02-17T14:08:35.7670000-05:00,2023-02-17T19:08:35.7670000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,b9b1a601-acd9-438d-bcbc-aebb01686d4f,55.07458,-119.16001,13.291,5.92903,-2.77003,-15.91969,-1.55767,4.43796,2.46432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-17,14:08:55.23,1,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.50758,-3.974675,-2.822286,2252.590638,203.898446,12:45,5.95325,1.32048,5.66196,-11.45654,21.84489,9.1676,1.28174,-0.54943,84.05317,-6.197913,-1.186868,0.415339,,,,,,,,,,,,-5.51221,12.6304,-1.08772,50,5.60944,6.18899,-133.82832,-9.61178,-9.93705,30.49409,-9.40483,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,8671b4a0-aef6-11ed-8272-ab1a32303e50,90.75098,,,8.45441,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:08:55.23,2023-02-17T14:08:55.2390000-05:00,2023-02-17T19:08:55.2390000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,84337fc8-8a49-411d-85c0-4f1276a1a44b,54.83628,-134.92582,15.24704,5.94928,-9.27329,-4.70241,-1.3169,6.54663,-4.96853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-17,14:09:14.14,1,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.54836,-2.686903,-2.267268,2261.518448,210.145922,1:00,5.95149,1.3478,5.6734,-12.98284,20.11867,11.03536,2.36081,0.15256,84.17001,-5.185349,-0.296469,0.41409,,,,,,,,,,,,-6.23071,11.30146,-1.16341,50,5.71649,4.80484,-134.1143,-6.65942,-11.30323,30.07816,-11.67188,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,919c97a0-aef6-11ed-8272-ab1a32303e50,91.02464,,,8.37834,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:09:14.14,2023-02-17T14:09:14.1440000-05:00,2023-02-17T19:09:14.1440000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,aac8f2e2-28cc-407c-8aa3-14e1edb1f61b,54.82332,-135.19171,15.03908,5.94754,-6.24133,-5.83594,-1.34277,5.20972,-5.65162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-17,14:09:35.15,1,5,"Edgington, Brian",1000026672,Right,VIR_CAV,"Burch, Nick",1000084187,Right,NAV_MID,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,92.80576,-3.179988,-3.129033,2285.27956,214.624117,1:15,5.98675,1.39675,5.76904,-14.76749,17.95867,11.66438,1.7893,-0.54605,84.81333,-5.986362,-1.043987,0.411736,97.57412,6.555487,26.610247,4043.393984,94.0677,5.82557,57.01895,159.89452,115.55557,33.26996,1.337436,-6.81992,10.3604,-1.14498,50,5.71435,6.83127,-134.43602,-7.92675,-12.48395,29.07967,-13.20913,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,9e2ef9e0-aef6-11ed-8272-ab1a32303e50,91.54516,6.67029,,7.99243,,,,0.74851,1.74869,0.53859,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:09:35.15,2023-02-17T14:09:35.1540000-05:00,2023-02-17T19:09:35.1540000Z,GroundBall,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,482d9639-98c0-4f93-9444-302599738595,54.72939,-135.45517,14.53984,5.98404,-7.46381,-6.60457,-1.39206,7.26879,-6.24198,251.399104,1.12882,123.15256,-18.15853,,,,,,,1.80061,15.81962,-12.86291,,,,,,,0.41156,65.05397,0.22382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2023-02-17,14:10:13.40,2,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.11136,-0.336374,-1.85323,2122.483872,74.226778,8:30,5.89742,1.4841,5.47037,-45.55849,-2.92713,-15.51843,1.78592,-1.54402,74.8337,-8.636899,-4.618012,0.469933,,,,,,,,,,,,7.24315,-0.94693,-1.31026,50,5.83685,4.4881,-119.0707,-2.30973,10.25015,25.91013,-33.51411,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,b5105e10-aef6-11ed-8272-ab1a32303e50,80.20812,,,7.27766,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:10:13.40,2023-02-17T14:10:13.4070000-05:00,2023-02-17T19:10:13.4070000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,ab2bb736-8539-4a9b-b02e-911236aec11d,55.02857,-120.15994,12.95507,5.90434,-0.90081,-16.75705,-1.48988,4.0572,5.12508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-17,14:10:31.37,2,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.67566,-3.411178,-3.055758,2384.504762,206.404744,1:00,5.89558,1.33927,5.70477,-11.63721,21.56981,10.12347,1.7392,-0.66699,83.89434,-5.678476,-1.24887,0.41475,,,,,,,,,,,,-6.10146,12.37123,-1.08948,50,5.60216,6.70586,-134.0898,-8.30633,-11.00396,31.547,-9.86256,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,bfb12980-aef6-11ed-8272-ab1a32303e50,90.87995,,,8.78132,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:10:31.37,2023-02-17T14:10:31.3710000-05:00,2023-02-17T19:10:31.3710000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,ea5374bd-ad51-418a-a38c-a0222aaa6afe,54.79296,-135.21273,15.7735,5.89157,-7.95527,-4.93128,-1.33514,7.09755,-5.50198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-17,14:10:57.60,2,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,92.8338,-1.529283,-2.763997,2177.781262,214.781898,1:15,5.93514,1.24855,5.99282,-15.86387,16.37871,10.68052,3.19396,-0.42482,85.00713,-4.54523,-0.846106,0.408683,,,,,,,,,,,,-6.23327,9.13571,-1.0365,50,5.8057,6.04392,-134.75766,-4.07863,-11.49677,28.45396,-15.324,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,cf4e33b0-aef6-11ed-8272-ab1a32303e50,92.2291,,,7.82668,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:10:57.60,2023-02-17T14:10:57.6080000-05:00,2023-02-17T19:10:57.6080000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,5fdfdc2e-3e0e-46d0-b543-636b49eb9f39,54.5057,-135.7057,14.22698,5.93309,-3.56806,-7.662,-1.24425,6.42698,-5.74839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-17,14:11:19.99,2,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,2,Splitter,Splitter,FoulBall,Undefined,Undefined,Undefined,0,0,,83.0641,0.675761,-0.608723,840.285971,265.866906,2:45,5.93753,1.46921,5.52632,-38.87431,2.02323,10.88024,3.32981,1.8068,76.33842,-6.447043,1.332461,0.460278,38.78509,-3.00812,69.36625,5739.738123,,,,18.1753,17.96841,66.011575,0.34465,-5.69748,1.17827,-1.42391,50,5.97008,0.84309,-120.69123,0.07063,-8.42289,22.9886,-30.43214,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,dcbf3620-aef6-11ed-8272-ab1a32303e50,81.89063,3.19806,,6.72568,,,,1.1071,3.19806,-1.64765,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:11:19.99,2023-02-17T14:11:19.9930000-05:00,2023-02-17T19:11:19.9930000Z,GroundBall,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,5387026b-c770-4541-bfeb-219815c361de,54.97387,-121.63493,11.4943,5.94154,1.3199,-15.21607,-1.46562,1.18886,-4.21145,283.166377,1.10691,20.02481,-5.21143,,,,,,,3.19898,-3.0206,-18.17482,,,,,,,-1.64903,53.21468,-0.71219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2023-02-17,14:11:46.03,2,5,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,1,2,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.16371,-3.029303,-3.355892,1253.166973,238.246983,2:00,5.93058,1.43973,5.4394,-30.11557,9.23359,12.87682,0.57687,-0.63317,78.2592,-8.542166,-1.065145,0.451481,,,,,,,,,,,,-7.44544,5.86331,-1.15192,50,5.64125,6.69144,-123.31125,-7.58582,-11.47013,24.3961,-23.14124,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,ec3fb7a0-aef6-11ed-8272-ab1a32303e50,83.48629,,,6.90451,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:11:46.03,2023-02-17T14:11:46.0370000-05:00,2023-02-17T19:11:46.0370000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,869f25c4-2e51-44fb-abcd-46a702f91fc6,55.05971,-124.30824,12.19805,5.93193,-6.64011,-11.57062,-1.43495,7.16019,-5.73507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2023-02-17,14:12:34.95,2,6,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,3,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,92.10173,-2.134158,-2.988891,2247.609795,206.976538,1:00,5.93162,1.45713,5.83264,-14.99072,18.2217,8.71138,2.69505,-0.59765,83.81563,-4.999161,-1.430011,0.414784,86.49249,51.662328,27.590735,4684.465445,90.98754,117.19885,61.81598,263.8294,140.25462,35.450171,5.957623,-5.33382,10.26926,-1.21838,50,5.74855,6.59128,-133.50494,-5.42352,-9.58759,29.83009,-13.71501,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,095cdf70-aef7-11ed-8272-ab1a32303e50,90.87253,129.14161,,8.2861,,,,1.71337,2.8929,0.64766,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:12:34.95,2023-02-17T14:12:34.9570000-05:00,2023-02-17T19:12:34.9570000Z,FlyBall,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,0ab77527-3626-48a8-9a75-0a68f4acbea3,54.66549,-134.54335,14.91505,5.92904,-4.94609,-6.8575,-1.45363,6.92503,-4.7938,203.40825,1.63489,71.03555,-24.1173,11.90394,-5.10293,1.43732,-0.23192,0.01954,-0.00067,2.88308,99.78162,-25.65503,4.76115,-2.28503,0.86796,-0.18448,0.01977,-0.00085,0.65834,36.31577,-1.40221,-0.88771,0.28865,0.00305,-0.01699,0.00305,-0.00017,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
12,2023-02-17,14:12:11.61,3,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Colin",1000101038,Right,NAV_MID,Undefined,1,Top,1,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.50861,-0.827309,-2.132578,2501.76983,91.284282,9:00,5.8733,1.63892,5.19195,-40.4301,1.45047,-11.16713,1.72529,-1.29869,76.48985,-8.134405,-4.110845,0.465777,,,,,,,,,,,,5.04544,1.29583,-1.4322,50,5.76572,4.92601,-119.79212,-3.20573,7.38006,21.70665,-30.27862,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,fb721920-aef6-11ed-8272-ab1a32303e50,80.92383,,,6.01875,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:12:11.61,2023-02-17T14:12:11.6190000-05:00,2023-02-17T19:12:11.6190000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,0586ecc2-eb68-4571-a881-6646d95b2569,55.30831,-120.75017,10.85332,5.87771,-1.86935,-15.13931,-1.64243,4.60028,3.69003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2023-02-17,14:13:14.35,3,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Smith, Alex",1000101042,Right,NAV_MID,Undefined,1,Top,2,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.50933,-2.685813,-2.959146,2272.16781,205.436148,12:45,5.99487,1.45297,5.80656,-12.3641,20.5847,9.26788,2.46165,-0.52906,84.22985,-5.076961,-1.3016,0.413134,98.13949,-2.369632,20.812925,2698.891574,,,,32.15074,32.15074,21.880572,0.221684,-5.59103,11.61446,-1.21568,50,5.76694,6.52155,-134.05129,-6.62905,-10.1427,29.79921,-11.10429,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,20d2bb70-aef7-11ed-8272-ab1a32303e50,91.23532,2.4308,,8.27948,,,,1.29259,2.4308,0.53842,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:13:14.35,2023-02-17T14:13:14.3530000-05:00,2023-02-17T19:13:14.3530000Z,GroundBall,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,52a0b7f3-2857-42c0-afbf-5dad5062bc01,54.69158,-135.09018,14.8996,5.9913,-6.24192,-5.55215,-1.44921,6.87516,-5.07135,303.659321,1.29469,134.30454,-25.1338,,,,,,,2.4327,-6.06524,-22.17995,,,,,,,0.5374,51.16111,2.11042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
14,2023-02-17,14:13:54.69,4,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Izquierdo, Victor",1000116142,Right,NAV_MID,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.96931,-1.704862,-2.713221,2158.710261,205.106075,12:45,5.99492,1.38139,5.59189,-14.68587,19.88686,8.7428,3.177,-0.4253,82.16586,-4.527932,-1.155338,0.423193,,,,,,,,,,,,-5.2424,10.92709,-1.15426,50,5.83927,5.84479,-131.74825,-4.34648,-9.11582,30.78177,-13.17333,VIR_CAV,NAV_MID,DavenportField,D1,ACC,20230217-DavenportField-1,38df3220-aef7-11ed-8272-ab1a32303e50,89.06683,,,8.80345,,,,,,,860133a1-e2b6-45f2-8140-6206dc908b87,2023-02-17,19:13:54.69,2023-02-17T14:13:54.6990000-05:00,2023-02-17T19:13:54.6990000Z,,v3,471482,471474,,"Teel, Kyle",691019,Right,VIR_CAV,1f200d82-7644-48c0-8bc7-2f6f1a8b40aa,54.90366,-132.88901,15.39089,5.99131,-3.85828,-6.58666,-1.37712,6.18262,-4.55791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
