PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,4/7/2023,04:03.5,1,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Kayfus, CJ",1000051868,Left,MIA_HUR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.61884,-2.779194,-1.613749,2209.321048,216.825049,1:15,5.93995,1.35554,5.53865,-13.40457,20.82958,14.66111,2.22229,1.06862,82.63769,-5.367895,0.999716,0.421116,,,,,,,,,,,,-7.89256,11.74658,-1.22553,50,5.69026,3.06133,-132.66282,-6.81454,-13.87617,31.94677,-11.52208,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,df819ad0-d5a0-11ed-9e0f-0d5a92b68f76,89.50616,,,8.98115,,,,,,,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,04:03.5,2023-04-07T20:04:03.5149490-04:00,2023-04-08T00:04:03.5149490Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,450a79a8-5ea6-4d57-b75b-73342104a53f,54.95748,-133.85132,15.97338,5.9358,-6.3859,-5.76104,-1.34902,3.57756,-6.93808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,4/7/2023,04:20.9,1,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Kayfus, CJ",1000051868,Left,MIA_HUR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,90.09357,-2.254621,-1.285027,2185.161521,209.795328,1:00,5.95416,1.27432,5.81311,-12.87623,22.20434,11.97111,2.78307,1.07683,81.06288,-4.775275,0.859954,0.42629,71.7331,37.351025,-136.161894,3435.934398,,,,,47.1852,,,-6.51654,12.42705,-1.1762,50,5.76196,2.40412,-130.55057,-5.45468,-11.06318,31.66158,-11.07653,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,e9e02d20-d5a0-11ed-9e0f-0d5a92b68f76,88.4198,30.2833,,9.03069,,,,0.75231,2.60064,-0.92793,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,04:20.9,2023-04-07T20:04:20.9172146-04:00,2023-04-08T00:04:20.9172146Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,8b658804-bcc6-448f-bf05-38cce171d3bb,54.68276,-131.68135,15.83079,5.94971,-5.05908,-5.53827,-1.26912,2.79924,-5.53159,,0.75231,-60.32494,0.41696,1.89191,-0.86999,0.29909,-0.08989,0.02293,-0.00348,2.60064,63.82956,-32.80629,4.77794,-0.84682,0.10808,-0.00641,-0.00192,0.00042,-0.92793,-57.9266,17.10247,-6.23374,1.79942,-0.47251,0.12169,-0.0283,0.00446,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,4/7/2023,04:41.5,1,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Kayfus, CJ",1000051868,Left,MIA_HUR,Undefined,1,Top,0,0,2,Splitter,Splitter,InPlay,Undefined,GroundBall,Out,1,0,,83.08407,-1.195296,-2.175396,1031.5405,263.934615,2:45,5.83238,1.57075,5.46257,-38.81691,2.7454,12.3169,1.47791,0.56008,75.64445,-8.303711,0.020608,0.464004,63.94958,-28.756875,55.545824,,,,,4.94032,2.76069,26.667854,0.040163,-6.90807,2.15016,-1.38797,50,5.70054,4.06786,-120.44354,-3.87316,-10.03768,25.75868,-29.04981,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,f6246f60-d5a0-11ed-9e0f-0d5a92b68f76,81.23308,1.81804,,7.43962,,,,2.54052,1.81804,-0.51445,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,04:41.5,2023-04-07T20:04:41.5149234-04:00,2023-04-08T00:04:41.5149234Z,GroundBall,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,9272d2e8-7802-4767-a89e-1b4ce448873a,55.03588,-121.51577,12.87934,5.83659,-2.66394,-14.52491,-1.56599,4.48569,-5.01884,,2.53957,46.66598,,,,,,,,1.81897,-45.26603,,,,,,,,-0.51584,68.0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,4/7/2023,05:17.2,2,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Cyr, Blake",1000093354,Right,MIA_HUR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.64377,-0.305981,-2.323425,2208.060643,215.10942,1:15,5.93609,1.16205,5.99283,-16.07009,17.4608,11.44505,4.31312,-0.03852,82.64387,-3.400553,-0.267454,0.416768,,,,,,,,,,,,-6.56859,9.38686,-0.985,50,5.90312,4.8881,-132.90133,-1.16253,-11.60558,31.70955,-15.58911,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,0b73e8f0-d5a1-11ed-9e0f-0d5a92b68f76,90.43995,,,8.99991,,,,,,,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,05:17.2,2023-04-07T20:05:17.2459186-04:00,2023-04-08T00:05:17.2459186Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,2912cd3c-b028-40da-ba08-d7bf7490931c,54.50272,-133.97134,15.85477,5.93347,-0.63649,-7.79455,-1.15655,5.27972,-5.80279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,4/7/2023,05:36.8,2,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Cyr, Blake",1000093354,Right,MIA_HUR,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.53111,0.408413,-1.144263,2248.299235,81.73907,8:45,5.80351,1.48604,5.32484,-44.83829,-0.01839,-11.44713,2.45032,-0.54177,72.70899,-7.7981,-3.178833,0.481844,,,,,,,,,,,,5.32654,0.36075,-1.37408,50,5.80854,2.80803,-116.66575,-0.74578,7.19591,26.00204,-31.68672,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,171cfca0-d5a1-11ed-9e0f-0d5a92b68f76,78.22534,,,7.82213,,,,,,,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,05:36.8,2023-04-07T20:05:36.8207538-04:00,2023-04-08T00:05:36.8207538Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,31deabda-bd02-4eb1-a1be-b9de5e99248d,55.17123,-117.81266,13.00102,5.81061,0.65187,-15.84336,-1.49094,2.49063,3.59796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,4/7/2023,05:55.4,2,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Cyr, Blake",1000093354,Right,MIA_HUR,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.08457,-1.542694,-3.232037,2160.504492,218.989043,1:15,5.88124,1.12916,5.90736,-16.32072,17.09761,12.86461,3.08662,-0.80197,83.01899,-4.672621,-0.926949,0.416067,75.98438,39.076324,158.004779,3969.995015,,,,,48.93281,,,-7.618,9.59315,-0.87688,50,5.74805,6.96792,-133.38761,-4.07795,-13.54052,32.2894,-15.12274,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,22380120-d5a1-11ed-9e0f-0d5a92b68f76,90.59216,34.9642,,9.06558,,,,1.17003,3.11208,0.82369,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,05:55.4,2023-04-07T20:05:55.4194098-04:00,2023-04-08T00:05:55.4194098Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,0d2052e1-db2a-46a9-953f-ca6e3570c297,54.58955,-134.49402,16.1447,5.8789,-3.55976,-7.56137,-1.12358,7.43189,-6.77026,326.12125,1.17003,-80.21748,4.19273,0.78809,-0.29343,0.10612,-0.02835,0.00786,-0.00163,3.11208,70.24903,-31.72625,4.60945,-1.03761,0.23082,-0.04855,0.01043,-0.00141,0.82369,32.40219,-9.7277,1.35318,-0.25574,0.03547,-0.00523,0.00016,0.0003,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,4/7/2023,06:18.1,2,4,"Edgington, Brian",1000026672,Right,VIR_CAV,"Cyr, Blake",1000093354,Right,MIA_HUR,Undefined,1,Top,1,1,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.23262,-1.415698,-1.497762,2292.951602,122.392629,10:00,5.86822,1.3485,5.2939,-35.12785,7.615,-9.66315,1.61096,-0.86335,74.82532,-7.851436,-3.213803,0.470547,,,,,,,,,,,,4.38803,4.68229,-1.20483,50,5.71402,3.51849,-119.16474,-4.16335,6.23507,25.42471,-25.52083,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,2fc405a0-d5a1-11ed-9e0f-0d5a92b68f76,80.10343,,,7.4073,,,,,,,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,06:18.1,2023-04-07T20:06:18.1080000-04:00,2023-04-08T00:06:18.1080000Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,864f7ce7-af05-4301-a5f7-a40b0dd56629,55.20317,-120.26975,12.71236,5.87087,-3.05416,-12.76041,-1.35187,3.2475,3.11753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.84693,2.773697,1.743155,1.030542,1.17427,1.57741,0.87698,-0.35746,4.09857,-1.14432,66.63866,8.83787,-58.14369,-0.37942,67.99515,-2.88578,4.25821,21.92054,-16.88382,-1.29667,-63.2252,7.75559,High,High,High,,,High,High,High
8,4/7/2023,06:51.2,3,1,"Edgington, Brian",1000026672,Right,VIR_CAV,"Morales, Yohandy",691002,Right,MIA_HUR,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.67598,0.399163,-1.965172,2350.325251,66.253527,8:15,5.78606,1.4133,5.40476,-45.06176,-1.84366,-7.60953,2.40515,-1.06287,74.16343,-7.832431,-3.318814,0.473156,,,,,,,,,,,,3.19295,-0.59996,-1.23278,50,5.79028,4.37752,-118.38184,-0.77354,4.46762,25.55356,-33.01352,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,437addd0-d5a1-11ed-9e0f-0d5a92b68f76,79.66179,,,7.51255,,,,,,,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,06:51.2,2023-04-07T20:06:51.2398514-04:00,2023-04-08T00:06:51.2398514Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,97843624-56d6-4b26-b962-a9ebfc50f3c7,55.0927,-119.47608,12.77678,5.79313,0.64014,-16.50676,-1.41614,4.18621,2.23381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,4/7/2023,07:10.4,3,2,"Edgington, Brian",1000026672,Right,VIR_CAV,"Morales, Yohandy",691002,Right,MIA_HUR,Undefined,1,Top,2,1,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,92.34068,-2.201934,-2.342322,2210.923745,217.763996,1:15,5.86098,1.20808,5.63904,-15.37473,18.12505,13.11516,2.52287,0.11467,83.43481,-5.141397,-0.001252,0.416574,58.61514,-77.244656,-147.547124,,,,,1.65402,1.91911,-18.840449,0.031235,-7.41792,10.24142,-1.01774,50,5.66429,4.88342,-133.7817,-5.61806,-13.28377,32.06356,-13.834,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,4ed5f890-d5a1-11ed-9e0f-0d5a92b68f76,90.48191,2.63361,,8.90587,,,,2.06848,2.63361,-0.21423,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,07:10.3,2023-04-07T20:07:10.3547058-04:00,2023-04-08T00:07:10.3547058Z,GroundBall,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,fe7da882-ee6b-4efe-af23-d256f3d04acc,54.8587,-134.94116,16.03178,5.8584,-5.11781,-6.917,-1.20301,5.36377,-6.64189,,2.06893,-16.10621,,,,,,,,2.63597,-84.31568,,,,,,,,-0.21394,-10.24217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,4/7/2023,07:46.3,3,3,"Edgington, Brian",1000026672,Right,VIR_CAV,"Morales, Yohandy",691002,Right,MIA_HUR,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.56979,-1.955801,-2.135636,2167.481724,207.465947,1:00,5.93474,1.18093,5.65793,-13.03863,20.75686,10.20075,3.02232,0.03846,83.23732,-4.471458,-0.314369,0.418409,,,,,,,,,,,,-5.77071,11.41296,-1.00662,50,5.76099,4.48863,-132.76928,-4.89228,-10.25912,29.49615,-11.88419,VIR_CAV,MIA_HUR,Davenport Field at Disharoon Park,D1,ACC,20230407-Davenport Field at Disharoon Park-2,644248f0-d5a1-11ed-9e0f-0d5a92b68f76,90.08518,,,8.33247,,,,,,,94632764-1360-4304-b45b-0e18ee4c9efa,4/8/2023,07:46.3,2023-04-07T20:07:46.2852274-04:00,2023-04-08T00:07:46.2852274Z,,v3,471482,236,,"Teel, Kyle",691019,Right,VIR_CAV,eb987ecd-ed68-4042-987c-80fe7bc27c31,54.8387,-133.83993,14.74808,5.93074,-4.46091,-5.9421,-1.1763,4.86101,-5.12956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
