PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-28,15:02:27.79,1,1,"Early, Connelly",1000121579,Left,VIR_CAV,"Swaim, Ty",1000099211,Right,VIR_KEY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.03295,-2.330218,2.968151,2237.125606,149.137357,11:00,5.34061,-2.26276,6.66916,-16.32068,16.38056,-9.18213,1.84457,-0.30992,83.49614,-5.462271,1.29843,0.411579,,,,,,,,,,,,5.6513,9.58764,2.06714,50,5.17735,-6.50335,-132.19734,-5.80351,10.02668,27.49756,-15.1634,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,d34e4360-b7a2-11ed-94dd-4b0588947553,91.58,,,7.53681,,,,,,,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:02:27.79,2023-02-28T15:02:27.7964940-05:00,2023-02-28T20:02:27.7964940Z,,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,e3991668-b769-4212-9769-b9323582c7f0,53.8297,-132.99154,13.74878,5.33865,-5.36554,-7.5817,2.25916,-6.79295,5.01334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-28,15:02:45.56,1,2,"Early, Connelly",1000121579,Left,VIR_CAV,"Swaim, Ty",1000099211,Right,VIR_KEY,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.10615,-2.533025,2.942495,2230.995009,155.957893,11:15,5.44722,-2.12558,6.61643,-15.47115,17.43367,-7.29575,1.83356,-0.03636,83.12048,-5.518158,1.617343,0.412858,93.33068,-9.949612,-9.782013,,,,,11.71141,10.87169,-8.841719,0.078083,4.68843,10.23284,1.92838,50,5.26821,-6.51215,-132.20472,-6.24028,8.27101,29.03797,-14.12197,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,ddebda80-b7a2-11ed-94dd-4b0588947553,91.29629,1.84918,,7.98567,,,,1.1841,1.84918,-0.00912,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:02:45.56,2023-02-28T15:02:45.5681164-05:00,2023-02-28T20:02:45.5681164Z,GroundBall,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,09ab1ee4-9cc4-455c-883a-0497e2120bd5,53.88162,-133.05456,14.51898,5.44479,-5.82698,-7.06099,2.12251,-6.75422,4.1355,180,1.18192,133.03908,,,,,,,,1.84956,-23.68207,,,,,,,,-0.00875,-22.93683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
3,2023-02-28,15:03:20.48,2,1,"Early, Connelly",1000121579,Left,VIR_CAV,"Morris, Zachary",1000091479,Right,VIR_KEY,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.68825,-1.883077,2.491687,2177.008959,126.722417,10:15,5.48481,-2.09337,6.64988,-19.0632,14.16158,-17.48257,2.17048,-1.2683,82.47101,-5.53424,-0.690126,0.414861,71.05764,23.94932,16.594896,2612.403907,102.75279,32.61913,39.26654,226.61604,226.61604,24.512383,3.15055,9.95819,8.35965,1.93193,50,5.34998,-5.05365,-131.69892,-4.84586,17.36105,29.89496,-17.5999,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,f2bad970-b7a2-11ed-94dd-4b0588947553,90.85562,33.021,,8.21724,,,,1.03149,2.1749,1.27107,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:03:20.48,2023-02-28T15:03:20.4873868-05:00,2023-02-28T20:03:20.4873868Z,LineDrive,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,98302a01-5346-4264-894b-249c236cf6c5,53.84875,-132.56969,14.94748,5.48366,-4.33322,-8.79995,2.08649,-5.55933,8.68053,219.970851,1.0313,91.28654,-13.92028,3.10171,-0.89029,0.3643,-0.13284,0.028,-0.00237,2.17516,42.29415,-15.20889,0.30994,0.37593,-0.32575,0.13988,-0.02896,0.0023,1.27096,27.20609,1.89923,-0.77362,0.22564,-0.06687,0.02077,-0.0041,0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2023-02-28,15:04:04.25,3,1,"Early, Connelly",1000121579,Left,VIR_CAV,"Starke, Justin",1000050193,Right,VIR_KEY,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,90.52264,-2.010093,2.74107,2130.876515,132.649219,10:30,5.5278,-2.02291,6.71073,-18.85871,14.49749,-14.49257,2.11578,-0.72287,82.15286,-5.632235,0.101406,0.415681,80.36053,42.713986,98.434964,4635.88531,,,,,34.93286,,,8.53402,8.62103,1.84645,50,5.38684,-5.74407,-131.41246,-5.11259,14.77608,30.41359,-17.24734,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,0ccae850-b7a3-11ed-94dd-4b0588947553,90.67646,42.17636,,8.36978,,,,1.63024,2.1369,0.58291,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:04:04.25,2023-02-28T15:04:04.2598028-05:00,2023-02-28T20:04:04.2598028Z,,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,afd2cba6-975f-4455-96c9-916861ab9578,53.78802,-132.28624,15.2068,5.52661,-4.61708,-8.62367,2.01758,-6.16859,7.38804,,1.63024,-12.70291,5.18111,-0.5035,-0.09359,0.07798,-0.02787,0.00099,0.0034,2.1369,79.95034,-11.22016,-2.43818,1.39573,-0.56532,0.17385,-0.01592,-0.0129,0.58291,85.66219,-49.20294,14.29956,-4.07034,1.20085,-0.34209,0.06907,-0.00159,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2023-02-28,15:04:55.95,3,2,"Early, Connelly",1000121579,Left,VIR_CAV,"Starke, Justin",1000050193,Right,VIR_KEY,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.20427,0.451505,1.808993,1526.365611,99.080022,9:15,5.52274,-2.30315,6.25426,-37.96608,3.69646,-15.18276,2.77547,-1.89967,74.62127,-6.607292,-0.936102,0.464563,,,,,,,,,,,,8.34993,2.20563,2.17588,50,5.53784,-3.16901,-118.0562,-0.21864,11.80399,22.12101,-29.056,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,2b9cec10-b7a3-11ed-94dd-4b0588947553,81.13531,,,6.583,,,,,,,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:04:55.95,2023-02-28T15:04:55.9502476-05:00,2023-02-28T20:04:55.9502476Z,,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,106a399f-09a4-40b5-b9ec-79d244157453,54.2451,-118.84898,11.06051,5.52701,0.82267,-14.528,2.29702,-3.59204,5.90199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-28,15:05:18.03,3,3,"Early, Connelly",1000121579,Left,VIR_CAV,"Starke, Justin",1000050193,Right,VIR_KEY,Undefined,1,Top,1,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.5366,0.427052,2.834377,1421.94502,111.228953,9:45,5.68375,-2.22269,6.87922,-32.82116,7.47445,-16.13245,3.33828,-0.98215,74.9669,-5.76946,-0.113397,0.456878,,,,,,,,,,,,9.29851,4.24933,2.04782,50,5.69922,-5.3272,-118.58297,0.02622,13.29145,21.85554,-26.09998,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,38ce9b90-b7a3-11ed-94dd-4b0588947553,82.49997,,,6.5697,,,,,,,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:05:18.03,2023-02-28T15:05:18.0306572-05:00,2023-02-28T20:05:18.0306572Z,,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,a8086589-db71-4936-b047-b59cba33b6f0,53.62017,-119.24832,10.92777,5.68632,0.82079,-13.04999,2.21615,-5.73184,6.64573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-02-28,15:06:43.43,3,4,"Early, Connelly",1000121579,Left,VIR_CAV,"Starke, Justin",1000050193,Right,VIR_KEY,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,92.17197,-0.943763,2.193839,2293.448151,157.246313,11:15,5.36304,-2.19636,6.53359,-16.47068,15.80528,-6.17772,3.12408,-0.69783,83.72077,-4.118273,1.072603,0.408894,,,,,,,,,,,,3.8665,8.87264,2.04646,50,5.29014,-4.87422,-133.85336,-2.63837,6.97018,30.60753,-16.17914,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,6ba5e5a0-b7a3-11ed-94dd-4b0588947553,92.18139,,,8.45121,,,,,,,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:06:43.43,2023-02-28T15:06:43.4320000-05:00,2023-02-28T20:06:43.4320000Z,,v3,471482,471480,,"Teel, Kyle",691019,Right,VIR_CAV,b4025667-153f-451e-8579-8cdcd5bf3375,53.96251,-134.7564,15.30376,5.36094,-2.16103,-8.08957,2.19331,-5.07987,3.48509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.42599,2.386531,1.144832,1.241699,-0.86555,2.95646,0.65608,-3.40632,5.33076,0.47051,66.22824,9.52325,-58.55788,-3.35839,59.47934,-2.75513,5.4765,22.06211,-15.09514,0.32678,-53.27809,4.67361,High,High,High,,,High,High,High
8,2023-02-28,15:09:32.93,1,1,"Parmer, Evan",1000102591,Right,VIR_KEY,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.36257,-1.870879,-2.968232,2220.747191,205.099615,12:45,5.85597,1.99823,5.57458,-13.66438,21.77375,9.66961,2.96688,0.02919,81.66107,-4.491805,-1.246431,0.428457,80.9716,46.414433,40.452661,5147.651206,70.18501,88.41652,84.69985,255.36934,218.07692,58.705371,4.985623,-5.72626,11.88949,-1.74912,50,5.6861,6.29825,-129.57326,-4.6233,-9.75,26.68566,-11.92999,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,d0b92420-b7a3-11ed-94dd-4b0588947553,87.97258,94.00335,,7.7015,,,,1.38641,2.92097,-0.0784,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:09:32.93,2023-02-28T15:09:32.9390220-05:00,2023-02-28T20:09:32.9390220Z,FlyBall,v3,471482,471480,,"Garrett , Cole",1000099213,Right,VIR_KEY,ade80e43-d71b-4a3c-8366-822f95dc8694,54.92406,-130.58343,13.34283,5.85256,-4.1717,-5.965,-1.99453,6.66734,-4.875,219.414551,1.43185,61.3254,-15.47626,-1.44108,4.70492,-2.48028,0.6277,-0.07804,0.00382,2.91443,86.10831,-24.34491,2.17818,0.15629,-0.35095,0.13568,-0.02238,0.00135,-0.09051,53.3461,-1.91753,0.16346,-0.31394,0.1309,-0.01659,-0.00048,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2023-02-28,15:09:50.29,1,2,"Parmer, Evan",1000102591,Right,VIR_KEY,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,89.16287,-2.83926,-4.596258,2090.055717,195.022767,12:30,5.78891,1.92815,5.55967,-13.87457,21.91241,5.57193,1.96932,-1.91092,81.57345,-5.486932,-3.608051,0.43056,,,,,,,,,,,,-4.04209,12.16611,-1.53416,50,5.53381,10.11597,-128.91938,-6.79712,-6.82212,26.08616,-11.64051,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,db09d3c0-b7a3-11ed-94dd-4b0588947553,87.54275,,,7.58942,,,,,,,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:09:50.29,2023-02-28T15:09:50.2976652-05:00,2023-02-28T20:09:50.2976652Z,,v3,471482,471480,,"Garrett , Cole",1000099213,Right,VIR_KEY,a42a35fa-1ccc-4b78-88a5-93e40fcca8f4,54.93692,-129.9145,13.04308,5.78463,-6.35306,-5.82026,-1.92502,10.37621,-3.41106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-28,15:10:02.28,1,3,"Parmer, Evan",1000102591,Right,VIR_KEY,"O'Ferrall, Griff",1000132221,Right,VIR_CAV,Undefined,1,Bottom,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.79546,-3.193348,-2.599167,2126.443819,152.458287,11:00,5.68658,1.96954,5.56102,-32.96151,8.99583,-4.07918,-0.04976,-0.80033,76.2835,-9.181586,-3.326783,0.466203,,,,,,,,,,,,1.46055,5.67729,-1.74219,50,5.3884,5.54213,-118.66229,-7.71653,2.1068,20.22354,-23.98478,VIR_CAV,VIR_KEY,Davenport Field at Disharoon Park,D1,ACC,20230228-Davenport Field at Disharoon Park-1,e23db300-b7a3-11ed-94dd-4b0588947553,80.84978,,,5.51196,,,,,,,13ec4cb3-c07a-45a3-9985-5498a9d5e798,2023-02-28,20:10:02.28,2023-02-28T15:10:02.2837388-05:00,2023-02-28T20:10:02.2837388Z,,v3,471482,471480,,"Garrett , Cole",1000099213,Right,VIR_KEY,eabb8a0a-4418-454f-9e3e-48636cba78f6,54.94006,-119.50125,10.11177,5.68788,-6.72153,-11.99239,-1.9703,5.45473,1.0534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
