PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-02-24,14:04:15.39,1,1,"Parker, Nick",1000010353,Right,VIR_CAV,"Hage, Cole",1000092706,Right,COL_LION,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.80451,-2.378883,-1.95488,2140.046041,181.385675,12:00,5.64873,1.52275,5.58179,-29.06679,10.17201,0.21693,1.00232,-0.28552,78.15355,-7.720873,-1.916162,0.450847,,,,,,,,,,,,-0.63496,6.15548,-1.35481,50,5.42507,4.19073,-123.03846,-6.09578,-0.97666,23.63746,-22.70615,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,08146b90-b476-11ed-a808-d930027c8890,83.60356,,,6.65096,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:04:15.39,2023-02-24T14:04:15.3932076-05:00,2023-02-24T19:04:15.3932076Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,d45d3f2f-02d1-42cf-8ea5-53ab7ca797b1,54.91694,-123.97947,11.81873,5.64975,-5.19184,-11.35308,-1.52242,4.22961,-0.48833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-02-24,14:04:29.67,1,2,"Parker, Nick",1000010353,Right,VIR_CAV,"Hage, Cole",1000092706,Right,COL_LION,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.0008,-2.776951,-3.910187,2042.095208,216.998705,1:15,5.56815,1.39307,5.63392,-21.13198,14.97312,10.32808,1.20824,-1.40004,80.7819,-6.735896,-2.070655,0.43247,,,,,,,,,,,,-6.39378,8.7954,-1.06671,50,5.318,8.34098,-128.69895,-6.94387,-10.63762,28.71356,-17.54076,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,1091bac0-b476-11ed-a808-d930027c8890,87.15625,,,8.2189,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:04:29.67,2023-02-24T14:04:29.6740140-05:00,2023-02-24T19:04:29.6740140Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,04b31465-5e45-47d1-a4e6-2dec26b8e7b2,54.86225,-129.77922,14.35678,5.56683,-6.28395,-8.77038,-1.38804,8.74119,-5.31881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-02-24,14:04:45.49,1,3,"Parker, Nick",1000010353,Right,VIR_CAV,"Hage, Cole",1000092706,Right,COL_LION,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.66758,-2.567318,-3.169647,2147.40832,214.117988,1:15,5.57666,1.34681,5.53155,-19.92135,15.7167,9.80524,1.51143,-0.80198,81.36799,-6.305535,-1.424493,0.429663,,,,,,,,,,,,-5.90075,9.07394,-1.07803,50,5.34032,6.74791,-129.77355,-6.48179,-9.9819,29.19697,-16.82429,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,19fd1370-b476-11ed-a808-d930027c8890,87.72551,,,8.29959,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:04:45.49,2023-02-24T14:04:45.4945068-05:00,2023-02-24T19:04:45.4945068Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,85ab06c7-7de7-4220-8b6b-089c528ed5f9,54.965,-130.88583,14.59848,5.57505,-5.84086,-8.41215,-1.34234,7.12818,-4.99095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-02-24,14:05:03.95,1,4,"Parker, Nick",1000010353,Right,VIR_CAV,"Hage, Cole",1000092706,Right,COL_LION,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.47438,-1.842318,-2.070112,2103.164439,238.086289,2:00,5.63051,1.31744,5.31747,-24.45155,11.81154,16.81816,1.86215,0.77531,80.64863,-6.389198,0.917149,0.433415,,,,,,,,,,,,-9.08508,6.89886,-1.14252,50,5.44631,3.90756,-129.53467,-5.04331,-15.18665,31.13917,-20.64189,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,25010d80-b476-11ed-a808-d930027c8890,86.96621,,,8.82575,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:05:03.95,2023-02-24T14:05:03.9568684-05:00,2023-02-24T19:05:03.9568684Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,f090765a-3899-429c-b780-aab09da02e47,55.1788,-130.77369,15.56958,5.63064,-4.22198,-10.32095,-1.31002,4.51184,-7.59332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-02-24,14:05:23.36,1,5,"Parker, Nick",1000010353,Right,VIR_CAV,"Hage, Cole",1000092706,Right,COL_LION,Undefined,1,Top,0,2,2,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,77.43519,0.70476,-0.446974,2719.232958,50.557635,7:45,5.83516,1.15836,5.254,-59.16802,-10.73603,-15.12005,1.56675,-0.52163,70.47751,-10.011617,-3.13653,0.500885,,,,,,,,,,,,7.47634,-5.22181,-1.10551,50,5.85547,1.46774,-112.31475,-0.6723,9.37495,23.81953,-38.72192,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,30993140-b476-11ed-a808-d930027c8890,75.25174,,,6.95768,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:05:23.36,2023-02-24T14:05:23.3684268-05:00,2023-02-24T19:05:23.3684268Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,1f0a1124-2295-4b76-acb3-1bc637f02363,55.24728,-113.42212,11.90977,5.84488,1.12789,-19.36096,-1.16361,1.0319,4.68747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-02-24,14:05:50.68,1,6,"Parker, Nick",1000010353,Right,VIR_CAV,"Hage, Cole",1000092706,Right,COL_LION,Undefined,1,Top,0,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,86.50579,-0.310193,-2.04662,2401.739336,158.575388,11:15,5.58863,1.33009,5.17281,-30.61588,7.90839,-2.61032,2.74522,-0.81417,78.91091,-5.924878,-2.508581,0.446723,67.138,-31.386288,-14.495737,,,,,6.63658,5.12633,-3.119167,0.054136,0.71709,4.38481,-1.13738,50,5.53656,4.59698,-125.43557,-1.80764,1.13752,26.40747,-25.21851,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,40df4cb0-b476-11ed-a808-d930027c8890,84.37536,2.78851,,7.59488,,,,2.20148,2.78851,0.78299,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:05:50.68,2023-02-24T14:05:50.6800428-05:00,2023-02-24T19:05:50.6800428Z,GroundBall,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,3d02c5e4-5d47-4bac-9aa1-4dc03d70d677,55.32559,-126.55177,13.20373,5.59044,-0.74169,-12.60926,-1.33068,4.5489,0.56876,180,2.19836,81.74346,,,,,,,,2.79048,-51.50931,,,,,,,,0.78379,-21.13381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2023-02-24,14:06:26.40,2,1,"Parker, Nick",1000010353,Right,VIR_CAV,"Blake, Andy",1000079628,Right,COL_LION,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.10779,-1.479568,-2.493878,2043.962085,209.105038,1:00,5.57904,1.29234,5.63324,-19.19938,16.27725,8.44599,2.59706,-0.33206,81.64159,-5.083467,-0.986935,0.428689,,,,,,,,,,,,-4.94611,8.98563,-1.08558,50,5.44089,5.26245,-129.29052,-3.95888,-8.39929,26.13647,-16.91494,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,5626aff0-b476-11ed-a808-d930027c8890,87.92485,,,7.4662,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:06:26.40,2023-02-24T14:06:26.4083244-05:00,2023-02-24T19:06:26.4083244Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,045da63c-8a3d-4a8c-9da8-67a86bbce1c1,54.86445,-130.27017,13.06824,5.5774,-3.32488,-8.45747,-1.28873,5.57727,-4.19964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-02-24,14:06:43.40,2,2,"Parker, Nick",1000010353,Right,VIR_CAV,"Blake, Andy",1000079628,Right,COL_LION,Undefined,1,Top,1,0,1,Fastball,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.50073,-1.424676,-2.933173,2391.063367,174.449707,11:45,5.6248,1.36343,5.38139,-28.81068,8.4676,-0.70866,1.88641,-1.44754,80.23081,-6.711094,-3.058972,0.43944,,,,,,,,,,,,-0.45693,5.01185,-1.10033,50,5.477,6.5298,-126.82985,-4.2022,-0.74455,25.83988,-24.00715,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,604971c0-b476-11ed-a808-d930027c8890,85.77387,,,7.26991,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:06:43.40,2023-02-24T14:06:43.4070316-05:00,2023-02-24T19:06:43.4070316Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,3dc54ed0-f7af-43d3-9654-fd0eae3b08d3,55.11592,-127.8679,12.91994,5.62645,-3.23777,-12.00358,-1.36325,6.55971,-0.37228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-02-24,14:07:02.39,2,3,"Parker, Nick",1000010353,Right,VIR_CAV,"Blake, Andy",1000079628,Right,COL_LION,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.06734,-0.027298,-3.832465,2256.049281,129.889304,10:15,5.63842,1.21573,5.36708,-32.14443,6.52008,-6.34725,2.93406,-2.91202,78.78633,-5.914641,-4.95557,0.447536,,,,,,,,,,,,2.09488,3.66264,-0.86687,50,5.61335,8.62757,-124.65205,-1.22237,3.29154,25.37946,-26.41924,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,6b987e90-b476-11ed-a808-d930027c8890,84.2222,,,7.28101,,,,,,,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:07:02.39,2023-02-24T14:07:02.3913772-05:00,2023-02-24T19:07:02.3913772Z,,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,3f6df6e9-df84-4468-a74f-4ee6d01ce243,55.13001,-125.69219,12.68973,5.64126,-0.13961,-13.20962,-1.21769,8.49266,1.64577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-02-24,14:07:20.45,2,4,"Parker, Nick",1000010353,Right,VIR_CAV,"Blake, Andy",1000079628,Right,COL_LION,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,,88.70386,-0.685169,-2.150358,2032.770035,246.15033,2:15,5.61724,1.4659,5.62553,-28.51817,7.433,14.18481,2.6009,0.64047,80.99403,-5.959964,0.383185,0.431547,94.76468,0.007186,-48.947834,4457.050287,,,,49.4617,46.8381,-47.84416,0.353467,-7.89993,4.28185,-1.29231,50,5.54047,4.23699,-128.75916,-2.54603,-13.21763,27.57547,-25.0099,VIR_CAV,COL_LION,DavenportField,D1,ACC,20230224-DavenportField-1,765d4cc0-b476-11ed-a808-d930027c8890,87.34266,2.91972,,7.70982,,,,3.98752,2.91972,-0.71684,331a5f46-5f9d-4e36-a25b-151da8eef0f0,2023-02-24,19:07:20.45,2023-02-24T14:07:20.4501292-05:00,2023-02-24T19:07:20.4501292Z,GroundBall,v3,471482,471274,24 February 2023 14:00-columbia@virginia,"Teel, Kyle",691019,Right,VIR_CAV,407c3d36-0302-43b9-95dc-0553a7acbc0f,54.87464,-129.79893,13.78773,5.61869,-1.603,-12.50495,-1.46147,4.73537,-6.60881,,3.99753,90.90083,-23.54225,,,,,,,2.9279,-0.29241,-22.66973,,,,,,,-0.7161,-104.84196,8.85716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
